codmun;nome;uf;string
1100015;Alta Floresta D'Oeste;Rondônia;Alta Floresta D'Oeste, Rondônia, Brasil
1100379;Alto Alegre dos Parecis;Rondônia;Alto Alegre dos Parecis, Rondônia, Brasil
1100403;Alto Paraíso;Rondônia;Alto Paraíso, Rondônia, Brasil
1100346;Alvorada D'Oeste;Rondônia;Alvorada D'Oeste, Rondônia, Brasil
1100023;Ariquemes;Rondônia;Ariquemes, Rondônia, Brasil
1100452;Buritis;Rondônia;Buritis, Rondônia, Brasil
1100031;Cabixi;Rondônia;Cabixi, Rondônia, Brasil
1100601;Cacaulândia;Rondônia;Cacaulândia, Rondônia, Brasil
1100049;Cacoal;Rondônia;Cacoal, Rondônia, Brasil
1100700;Campo Novo de Rondônia;Rondônia;Campo Novo de Rondônia, Rondônia, Brasil
1100809;Candeias do Jamari;Rondônia;Candeias do Jamari, Rondônia, Brasil
1100908;Castanheiras;Rondônia;Castanheiras, Rondônia, Brasil
1100056;Cerejeiras;Rondônia;Cerejeiras, Rondônia, Brasil
1100924;Chupinguaia;Rondônia;Chupinguaia, Rondônia, Brasil
1100064;Colorado do Oeste;Rondônia;Colorado do Oeste, Rondônia, Brasil
1100072;Corumbiara;Rondônia;Corumbiara, Rondônia, Brasil
1100080;Costa Marques;Rondônia;Costa Marques, Rondônia, Brasil
1100940;Cujubim;Rondônia;Cujubim, Rondônia, Brasil
1100098;Espigão D'Oeste;Rondônia;Espigão D'Oeste, Rondônia, Brasil
1101005;Governador Jorge Teixeira;Rondônia;Governador Jorge Teixeira, Rondônia, Brasil
1100106;Guajará-Mirim;Rondônia;Guajará-Mirim, Rondônia, Brasil
1101104;Itapuã do Oeste;Rondônia;Itapuã do Oeste, Rondônia, Brasil
1100114;Jaru;Rondônia;Jaru, Rondônia, Brasil
1100122;Ji-Paraná;Rondônia;Ji-Paraná, Rondônia, Brasil
1100130;Machadinho D'Oeste;Rondônia;Machadinho D'Oeste, Rondônia, Brasil
1101203;Ministro Andreazza;Rondônia;Ministro Andreazza, Rondônia, Brasil
1101302;Mirante da Serra;Rondônia;Mirante da Serra, Rondônia, Brasil
1101401;Monte Negro;Rondônia;Monte Negro, Rondônia, Brasil
1100148;Nova Brasilândia D'Oeste;Rondônia;Nova Brasilândia D'Oeste, Rondônia, Brasil
1100338;Nova Mamoré;Rondônia;Nova Mamoré, Rondônia, Brasil
1101435;Nova União;Rondônia;Nova União, Rondônia, Brasil
1100502;Novo Horizonte do Oeste;Rondônia;Novo Horizonte do Oeste, Rondônia, Brasil
1100155;Ouro Preto do Oeste;Rondônia;Ouro Preto do Oeste, Rondônia, Brasil
1101450;Parecis;Rondônia;Parecis, Rondônia, Brasil
1100189;Pimenta Bueno;Rondônia;Pimenta Bueno, Rondônia, Brasil
1101468;Pimenteiras do Oeste;Rondônia;Pimenteiras do Oeste, Rondônia, Brasil
1100205;Porto Velho;Rondônia;Porto Velho, Rondônia, Brasil
1100254;Presidente Médici;Rondônia;Presidente Médici, Rondônia, Brasil
1101476;Primavera de Rondônia;Rondônia;Primavera de Rondônia, Rondônia, Brasil
1100262;Rio Crespo;Rondônia;Rio Crespo, Rondônia, Brasil
1100288;Rolim de Moura;Rondônia;Rolim de Moura, Rondônia, Brasil
1100296;Santa Luzia D'Oeste;Rondônia;Santa Luzia D'Oeste, Rondônia, Brasil
1101484;São Felipe D'Oeste;Rondônia;São Felipe D'Oeste, Rondônia, Brasil
1101492;São Francisco do Guaporé;Rondônia;São Francisco do Guaporé, Rondônia, Brasil
1100320;São Miguel do Guaporé;Rondônia;São Miguel do Guaporé, Rondônia, Brasil
1101500;Seringueiras;Rondônia;Seringueiras, Rondônia, Brasil
1101559;Teixeirópolis;Rondônia;Teixeirópolis, Rondônia, Brasil
1101609;Theobroma;Rondônia;Theobroma, Rondônia, Brasil
1101708;Urupá;Rondônia;Urupá, Rondônia, Brasil
1101757;Vale do Anari;Rondônia;Vale do Anari, Rondônia, Brasil
1101807;Vale do Paraíso;Rondônia;Vale do Paraíso, Rondônia, Brasil
1100304;Vilhena;Rondônia;Vilhena, Rondônia, Brasil
1200013;Acrelândia;Acre;Acrelândia, Acre, Brasil
1200054;Assis Brasil;Acre;Assis Brasil, Acre, Brasil
1200104;Brasiléia;Acre;Brasiléia, Acre, Brasil
1200138;Bujari;Acre;Bujari, Acre, Brasil
1200179;Capixaba;Acre;Capixaba, Acre, Brasil
1200203;Cruzeiro do Sul;Acre;Cruzeiro do Sul, Acre, Brasil
1200252;Epitaciolândia;Acre;Epitaciolândia, Acre, Brasil
1200302;Feijó;Acre;Feijó, Acre, Brasil
1200328;Jordão;Acre;Jordão, Acre, Brasil
1200336;Mâncio Lima;Acre;Mâncio Lima, Acre, Brasil
1200344;Manoel Urbano;Acre;Manoel Urbano, Acre, Brasil
1200351;Marechal Thaumaturgo;Acre;Marechal Thaumaturgo, Acre, Brasil
1200385;Plácido de Castro;Acre;Plácido de Castro, Acre, Brasil
1200807;Porto Acre;Acre;Porto Acre, Acre, Brasil
1200393;Porto Walter;Acre;Porto Walter, Acre, Brasil
1200401;Rio Branco;Acre;Rio Branco, Acre, Brasil
1200427;Rodrigues Alves;Acre;Rodrigues Alves, Acre, Brasil
1200435;Santa Rosa do Purus;Acre;Santa Rosa do Purus, Acre, Brasil
1200500;Sena Madureira;Acre;Sena Madureira, Acre, Brasil
1200450;Senador Guiomard;Acre;Senador Guiomard, Acre, Brasil
1200609;Tarauacá;Acre;Tarauacá, Acre, Brasil
1200708;Xapuri;Acre;Xapuri, Acre, Brasil
1300029;Alvarães;Amazonas;Alvarães, Amazonas, Brasil
1300060;Amaturá;Amazonas;Amaturá, Amazonas, Brasil
1300086;Anamã;Amazonas;Anamã, Amazonas, Brasil
1300102;Anori;Amazonas;Anori, Amazonas, Brasil
1300144;Apuí;Amazonas;Apuí, Amazonas, Brasil
1300201;Atalaia do Norte;Amazonas;Atalaia do Norte, Amazonas, Brasil
1300300;Autazes;Amazonas;Autazes, Amazonas, Brasil
1300409;Barcelos;Amazonas;Barcelos, Amazonas, Brasil
1300508;Barreirinha;Amazonas;Barreirinha, Amazonas, Brasil
1300607;Benjamin Constant;Amazonas;Benjamin Constant, Amazonas, Brasil
1300631;Beruri;Amazonas;Beruri, Amazonas, Brasil
1300680;Boa Vista do Ramos;Amazonas;Boa Vista do Ramos, Amazonas, Brasil
1300706;Boca do Acre;Amazonas;Boca do Acre, Amazonas, Brasil
1300805;Borba;Amazonas;Borba, Amazonas, Brasil
1300839;Caapiranga;Amazonas;Caapiranga, Amazonas, Brasil
1300904;Canutama;Amazonas;Canutama, Amazonas, Brasil
1301001;Carauari;Amazonas;Carauari, Amazonas, Brasil
1301100;Careiro;Amazonas;Careiro, Amazonas, Brasil
1301159;Careiro da Várzea;Amazonas;Careiro da Várzea, Amazonas, Brasil
1301209;Coari;Amazonas;Coari, Amazonas, Brasil
1301308;Codajás;Amazonas;Codajás, Amazonas, Brasil
1301407;Eirunepé;Amazonas;Eirunepé, Amazonas, Brasil
1301506;Envira;Amazonas;Envira, Amazonas, Brasil
1301605;Fonte Boa;Amazonas;Fonte Boa, Amazonas, Brasil
1301654;Guajará;Amazonas;Guajará, Amazonas, Brasil
1301704;Humaitá;Amazonas;Humaitá, Amazonas, Brasil
1301803;Ipixuna;Amazonas;Ipixuna, Amazonas, Brasil
1301852;Iranduba;Amazonas;Iranduba, Amazonas, Brasil
1301902;Itacoatiara;Amazonas;Itacoatiara, Amazonas, Brasil
1301951;Itamarati;Amazonas;Itamarati, Amazonas, Brasil
1302009;Itapiranga;Amazonas;Itapiranga, Amazonas, Brasil
1302108;Japurá;Amazonas;Japurá, Amazonas, Brasil
1302207;Juruá;Amazonas;Juruá, Amazonas, Brasil
1302306;Jutaí;Amazonas;Jutaí, Amazonas, Brasil
1302405;Lábrea;Amazonas;Lábrea, Amazonas, Brasil
1302504;Manacapuru;Amazonas;Manacapuru, Amazonas, Brasil
1302553;Manaquiri;Amazonas;Manaquiri, Amazonas, Brasil
1302603;Manaus;Amazonas;Manaus, Amazonas, Brasil
1302702;Manicoré;Amazonas;Manicoré, Amazonas, Brasil
1302801;Maraã;Amazonas;Maraã, Amazonas, Brasil
1302900;Maués;Amazonas;Maués, Amazonas, Brasil
