"";"codmun";"nome";"uf";"string";"lat";"lon"
"1";1100015;"Alta Floresta D'Oeste";"Rondônia";"Alta Floresta D'Oeste, Rondônia, Brasil";-11,9283249;-61,9953419
"2";1100379;"Alto Alegre dos Parecis";"Rondônia";"Alto Alegre dos Parecis, Rondônia, Brasil";-12,1319549;-61,8349789
"3";1100403;"Alto Paraíso";"Rondônia";"Alto Paraíso, Rondônia, Brasil";-9,7240102;-63,3188122
"4";1100346;"Alvorada D'Oeste";"Rondônia";"Alvorada D'Oeste, Rondônia, Brasil";-11,3462709;-62,2846969
"5";1100023;"Ariquemes";"Rondônia";"Ariquemes, Rondônia, Brasil";-9,9076521;-63,0330689
"6";1100452;"Buritis";"Rondônia";"Buritis, Rondônia, Brasil";-10,2054936;-63,8281953
"7";1100031;"Cabixi";"Rondônia";"Cabixi, Rondônia, Brasil";-13,4944789;-60,5520319
"8";1100601;"Cacaulândia";"Rondônia";"Cacaulândia, Rondônia, Brasil";-10,3489809;-62,9043279
"9";1100049;"Cacoal";"Rondônia";"Cacoal, Rondônia, Brasil";-11,4332999;-61,4420501
"10";1100700;"Campo Novo de Rondônia";"Rondônia";"Campo Novo de Rondônia, Rondônia, Brasil";-10,5704234;-63,619951
"11";1100809;"Candeias do Jamari";"Rondônia";"Candeias do Jamari, Rondônia, Brasil";-8,7949938;-63,701885
"12";1100908;"Castanheiras";"Rondônia";"Castanheiras, Rondônia, Brasil";-11,4135029;-61,9427149
"13";1100056;"Cerejeiras";"Rondônia";"Cerejeiras, Rondônia, Brasil";-13,1869869;-60,8168359
"14";1100924;"Chupinguaia";"Rondônia";"Chupinguaia, Rondônia, Brasil";-12,5528917;-60,9027818
"15";1100064;"Colorado do Oeste";"Rondônia";"Colorado do Oeste, Rondônia, Brasil";-13,1174309;-60,5454279
"16";1100072;"Corumbiara";"Rondônia";"Corumbiara, Rondônia, Brasil";-12,9551109;-60,8947319
"17";1100080;"Costa Marques";"Rondônia";"Costa Marques, Rondônia, Brasil";-12,4367164;-64,2279764
"18";1100940;"Cujubim";"Rondônia";"Cujubim, Rondônia, Brasil";-9,3687918;-62,5832106
"19";1100098;"Espigão D'Oeste";"Rondônia";"Espigão D'Oeste, Rondônia, Brasil";-11,5321749;-61,0130934
"20";1101005;"Governador Jorge Teixeira";"Rondônia";"Governador Jorge Teixeira, Rondônia, Brasil";-10,6140223;-62,7326411
"21";1100106;"Guajará-Mirim";"Rondônia";"Guajará-Mirim, Rondônia, Brasil";-10,7804238;-65,3327824
"22";1101104;"Itapuã do Oeste";"Rondônia";"Itapuã do Oeste, Rondônia, Brasil";-9,1896459;-63,1910096
"23";1100114;"Jaru";"Rondônia";"Jaru, Rondônia, Brasil";-10,4318259;-62,4787689
"24";1100122;"Ji-Paraná";"Rondônia";"Ji-Paraná, Rondônia, Brasil";-10,8778147;-61,9277853
